FB:FBgn0012051	Calpain-A		GO:0007520		FlyBase	NCBITaxon:7227	IMP		PANTHER:PTHR10183	protein		FB:FBrf0229134|PMID:26138338	20160519
FB:FBgn0044826	Pak3		GO:0007520		FlyBase	NCBITaxon:7227	IMP		PANTHER:PTHR48015	protein		FB:FBrf0219579|PMID:23007650	20130314
FB:FBgn0026179	schizo		GO:0007520		FlyBase	NCBITaxon:7227	IMP		PANTHER:PTHR10663	protein		FB:FBrf0161992|PMID:14505574	20060803
FB:FBgn0026179	schizo		GO:0007520		FlyBase	NCBITaxon:7227	IMP		PANTHER:PTHR10663	protein		FB:FBrf0201000|PMID:18003739	20110113
FB:FBgn0026179	schizo		GO:0007520		FlyBase	NCBITaxon:7227	IMP		PANTHER:PTHR10663	protein		FB:FBrf0210103|PMID:20186342	20121101
FB:FBgn0026179	schizo		GO:0007520		FlyBase	NCBITaxon:7227	IMP		PANTHER:PTHR10663	protein		FB:FBrf0218661|PMID:22595515	20120712
FB:FBgn0041096	rolling pebbles		GO:0007520		FlyBase	NCBITaxon:7227	IMP		PANTHER:PTHR24166	protein		FB:FBrf0141462|PMID:11709189	20060803
FB:FBgn0041096	rolling pebbles		GO:0007520		FlyBase	NCBITaxon:7227	IMP		PANTHER:PTHR24166	protein		FB:FBrf0141463|PMID:11709190	20060803
FB:FBgn0041096	rolling pebbles		GO:0007520		FlyBase	NCBITaxon:7227	IMP		PANTHER:PTHR24166	protein		FB:FBrf0141501|PMID:11748142	20060803
FB:FBgn0041096	rolling pebbles		GO:0007520		FlyBase	NCBITaxon:7227	IMP		PANTHER:PTHR24166	protein		FB:FBrf0187819|PMID:15955848	20070523
FB:FBgn0041096	rolling pebbles		GO:0007520		FlyBase	NCBITaxon:7227	IMP		PANTHER:PTHR24166	protein		FB:FBrf0210103|PMID:20186342	20121101
FB:FBgn0024811	Crk oncogene		GO:0007520		FlyBase	NCBITaxon:7227	TAS		PANTHER:PTHR19969	protein		FB:FBrf0151208|PMID:12111720	20060803
FB:FBgn0262716	Actin-related protein 3		GO:0007520		FlyBase	NCBITaxon:7227	IMP		PANTHER:PTHR11937	protein		FB:FBrf0201000|PMID:18003739	20110113
FB:FBgn0262716	Actin-related protein 3		GO:0007520		FlyBase	NCBITaxon:7227	IGI	FB:FBgn0024273	PANTHER:PTHR11937	protein		FB:FBrf0204821|PMID:18388318	20101202
FB:FBgn0262716	Actin-related protein 3		GO:0007520		FlyBase	NCBITaxon:7227	IMP		PANTHER:PTHR11937	protein		FB:FBrf0204821|PMID:18388318	20101202
FB:FBgn0086442	mind bomb 2		GO:0007520		FlyBase	NCBITaxon:7227	IMP		PANTHER:PTHR24202	protein		FB:FBrf0191387|PMID:16482229	20070523
FB:FBgn0086442	mind bomb 2		GO:0007520		FlyBase	NCBITaxon:7227	IMP		PANTHER:PTHR24202	protein		FB:FBrf0202704|PMID:18216171	20090917
FB:FBgn0086906	sallimus		GO:0007520		FlyBase	NCBITaxon:7227	IMP		PANTHER:PTHR19890	protein		FB:FBrf0130194|PMID:10934048	20070523
FB:FBgn0040068	Vav guanine nucleotide exchange factor		GO:0007520		FlyBase	NCBITaxon:7227	IMP		PANTHER:PTHR45818	protein		FB:FBrf0187549|PMID:15950967	20150806
FB:FBgn0011656	Myocyte enhancer factor 2		GO:0007520		FlyBase	NCBITaxon:7227	IMP		PANTHER:PTHR11945	protein		FB:FBrf0187819|PMID:15955848	20070523
FB:FBgn0011656	Myocyte enhancer factor 2		GO:0007520		FlyBase	NCBITaxon:7227	IMP		PANTHER:PTHR11945	protein		FB:FBrf0217023|PMID:22008792	20120510
FB:FBgn0011656	Myocyte enhancer factor 2		GO:0007520		FlyBase	NCBITaxon:7227	IMP		PANTHER:PTHR11945	protein		FB:FBrf0228310|PMID:25797154	20150625
